Name,Party,Status 20221114,Year,Twitter,Href,Position,State
Reinette Senum,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/ReinetteSenum'})",https://ballotpedia.org/Reinette_Senum,Governor,California
Daniel Mercuri,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/Dan_Mercuri'})",https://ballotpedia.org/Daniel_Mercuri,Governor,California
Heather Collins,Green,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Heather_Collins_(California),Governor,California
Anthony Fanara,Democratic,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/tonyhandlesit'})",https://ballotpedia.org/Anthony_Fanara,Governor,California
Cristian Morales,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/CMoralesCaGov'})",https://ballotpedia.org/Cristian_Morales,Governor,California
Frederic Schultz,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/FredericEsq'})",https://ballotpedia.org/Frederic_Schultz,Governor,California
Lonnie Sortor,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/lonniesortor'})",https://ballotpedia.org/Lonnie_Sortor,Governor,California
Woodrow Sanders III,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/VoteForWoodrow', 'Personal Twitter': 'https://www.twitter.com/GovUnleashed'})",https://ballotpedia.org/Woodrow_Sanders_III,Governor,California
James Hanink,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/James_Hanink,Governor,California
Bradley Zink,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/zink_bradley'})",https://ballotpedia.org/Bradley_Zink,Governor,California
Serge Fiankan,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/Sergefiankan'})",https://ballotpedia.org/Serge_Fiankan,Governor,California
Jeff Scott,Independent,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Jeff_Scott_(California),Governor,California
Gurinder Bhangoo,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Gurinder_Bhangoo,Governor,California
John Cox,Republican,Last election,2021.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/BeastJohnCox'})",https://ballotpedia.org/John_Cox_(California),Governor,California
Antonio Villaraigosa,Democratic,Last election,2018.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/antonio4ca'})",https://ballotpedia.org/Antonio_Villaraigosa,Governor,California
Travis Allen,Republican,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Travis_Allen,Governor,California
John Chiang,Democratic,Last election,2018.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/johnchiangca'})",https://ballotpedia.org/John_Chiang,Governor,California
Delaine Eastin,Democratic,Last election,2018.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/DelaineEastin'})",https://ballotpedia.org/Delaine_Eastin,Governor,California
Amanda Renteria,Democratic,Last election,2018.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/amandarenteria'})",https://ballotpedia.org/Amanda_Renteria,Governor,California
Peter Yuan Liu,Nonpartisan,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Peter_Yuan_Liu,Governor,California
Yvonne Girard,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Yvonne_Girard,Governor,California
Juan Bribiesca,Democratic,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Juan_Bribiesca,Governor,California
Zoltan Gyurko Istvan,Republican,Last convention,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Zoltan_Istvan,Governor,California
Albert Caesar Mezzetti,Democratic,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Albert_Caesar_Mezzetti,Governor,California
Nickolas Wildstar,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Nickolas_Wildstar,Governor,California
Robert Davidson Griffis,Democratic,Last election,2021.0,"defaultdict(<class 'str'>, {'Personal Twitter': 'https://www.twitter.com/griff4gov'})",https://ballotpedia.org/Robert_Davidson_Griffis,Governor,California
Thomas Jefferson Cares,Democratic,Last election,2019.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Thomas_Jefferson_Cares,Governor,California
Christopher Carlson,Green,Last election,2021.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Christopher_Carlson_(California),Governor,California
Klement Tinaj,Democratic,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Klement_Tinaj,Governor,California
Hakan Mikado,Independent,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Hakan_Mikado,Governor,California
Johnny Wattenburg,Independent,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Johnny_Wattenburg,Governor,California
Desmond Silveira,unknown,Last election,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Desmond_Silveira,Governor,California
Shubham Goel,Independent,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Shubham_Goel,Governor,California
Jeffrey Edward Taylor,Independent,Last election,2018.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Jeffrey_Edward_Taylor_(California),Governor,California
Joseph Kishore,unknown,Last election,2020.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/jkishore'})",https://ballotpedia.org/Joseph_Kishore,State Senate,California
Norissa Santa Cruz,unknown,Last election,2020.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Norissa_Santa_Cruz,State Senate,California
Joshua Groban,Nonpartisan,Last elected,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Joshua_Groban,State Supreme Court,California
Patricia Guerrero,Nonpartisan,Last elected,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Patricia_Guerrero,State Supreme Court,California
Martin J. Jenkins,Nonpartisan,Last elected,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Martin_J._Jenkins,State Supreme Court,California
Goodwin Liu,Nonpartisan,Last elected,2022.0,"defaultdict(<class 'str'>, {})",https://ballotpedia.org/Goodwin_Liu,State Supreme Court,California
Gretchen Whitmer,Democratic,Last elected,2022.0,"defaultdict(<class 'str'>, {'Official Twitter': 'https://www.twitter.com/GovWhitmer', 'Personal Twitter': 'https://www.twitter.com/gretchenwhitmer'})",https://ballotpedia.org/Gretchen_Whitmer,Governor,Michigan
Tudor Dixon,Republican,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/TeamTudorDixon', 'Personal Twitter': 'https://www.twitter.com/TudorDixon'})",https://ballotpedia.org/Tudor_Dixon,Governor,Michigan
Mary Buzuma,Libertarian,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/LPMary4gov'})",https://ballotpedia.org/Mary_Buzuma,Governor,Michigan
Donna Brandenburg,unknown,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/brandenburg4mi'})",https://ballotpedia.org/Donna_Brandenburg,Governor,Michigan
Kevin Hogan,Green,Last election,2022.0,"defaultdict(<class 'str'>, {'Campaign Twitter': 'https://www.twitter.com/KevinHo84541553'})",https://ballotpedia.org/Kevin_Hogan,Governor,Michigan
